text	label
Hi, I need to cancel my plan with you guys.	CancelPlan
Yes, I need some proof of insurance for my, car.	RequestProofOfInsurance
I, I'm thinking of getting pet insurance and wanted to get a quote. Kinda feeble, huh?	GetQuote
Yes I recently filed for divorce and I need to remove my husband from my health insurance.	RemoveDependent
Yes I'm trying to get a new apartment and they require proof of renter's insurance. Is there anyway I can get that sent to them.	RequestProofOfInsurance
Yeah. You guys are overbilling my account and I'm sick of it. You need to fix it.	ReportBillingIssue
Hey there my name is Cindy Peebles and I have been a customer for years and I need to change my address and I've never had to do that before so I don't know how.	ChangeAddress
Hello. I need to remove someone from my plan.	RemoveDependent
Been reading all about this climate upping. I-I think the waters might decide to visit the house. So I need to add water protection to my homeowners policy.	ChangePlan
Hey yes I just recently moved to a different place and need to change my address and phone number that I have with you guys.	ChangeAddress
Perfect. Can I get a quote for that? I'm already a customer with you guys and have nothing but good experiences.	GetQuote
Hey yes I mailed my bill about a week ago and I haven't seen it get credited to my account and I just want to check on that.	CheckPaymentStatus
Hey I'm trying to organize my hurricane kit and I realized I don't have my policy number for you guys. Can you provide that for me?	GetPolicyNumber
Just a reminder, your bill is due tomorrow. Would you like to go ahead and pay it while you're on the phone with me?	PayBill
Yes my name is John Brown, policy number one two three four five six seven eight and I need to report an accident.	ReportAutomobileAccident
Yes I need to update some of my security information on here. I think someone got ahold of my info and is trying to pretend to be me.	ChangeSecurityQuestion
Hey yes I have a renewal coming up and I usually pay only once a year but this year I can't make one large payment. I need to see if I can do it monthly.	UpdateBillingFrequency
Hey I got several policies with you guys but I saw online that you offer pet insurance. Can you tell me how much that costs?	GetQuote
Yeah my name is Ricky Johnson and I'm customer there. I haven't had access to a computer in a while and I need to see when my bill is due and make a payment.	PayBill
Hey I was wondering if I could get a quote for car insurance. My friend uses you guys and had some good things to say. I'm trying to lower my premiums.	GetQuote
I'm an idiot and thought I could remember my password but apparently I can't. I believe it locked me out because I tried too many passwords.	ResetPassword
Yes. I just recently got married and I've been with you guys for years so I'd thought I'd add my new husband as a dependent.	AddDependent
Great. Can I go ahead and pay that now?	PayBill
Yeah I'm at the DMV and I'm trying to register my car but they need proof of insurance so I guess I need you to send me a copy.	RequestProofOfInsurance
Not a problem. I'd be happy to help. I'm assuming you need to change your address?	ChangeAddress
Yeah I think I'm locked out of my online account I keep trying to log in and it says too many invalid attempts.	ResetPassword
Yeah, my name is Jamie Gresham and I need to see if you got my last payment and ask a question about my coverage.	CheckPaymentStatus
Yes I want to see if I can change my payment from monthly to annually. I keep forgetting to pay it every month.	UpdateBillingFrequency
Hi I got a notice in the mail that if I don't pay my bill you guys are going to cancel my policy so I guess I need to pay it.	PayBill
Yes I recently got married and need to add my husband to my health insurance policy.	AddDependent
Oh! I need to pay my bill and ask a question about auto-pay.	PayBill
Yeah I'm trying to register my car and they need my insurance number and I don't have it.	GetPolicyNumber
How do I get proof of that?	RequestProofOfInsurance
I don't know my password.	ResetPassword
I'm actually looking to change my insurance plan for my family and I.	ChangePlan
Yeah. I'm shopping around for life insurance rates and I wanted to see how you guys compare. I heard a lot of good things about your company from friends.	GetQuote
Yes we just adopted a new baby and I need to add her to my health plan.	AddDependent
Yeah I need to check my account balance.	CheckAccountBalance
Okay. Can you tell me the life insurance now?	CheckAccountBalance
Would you like to go ahead and make a payment?	PayBill
Yes, I need to file a claim. We lost my wife this week.	FileClaim
Yes my name is Carol Brown and I've been a customer with you guys for about six years but I'm afraid someone has my information so I need to change my security question.	ChangeSecurityQuestion
Hey I mailed my check a few days ago to pay you guys and I don't see where it has hit my account. Can you tell me if you see it on your end?	ReportBillingIssue
Yeah I was thinking about upgrading my plan and wanted to talk to someone to see what kind of options I have.	ChangePlan
Yes. I think I've been a victim of identity theft so I need to change my security question for you guys so I can keep my stuff safe.	ChangeSecurityQuestion
Yeah. I think I've accidentally locked myself out of my online account. It's been giving me an error message.	ResetPassword
Yeah I need to go ahead and set up my plan to be cancelled. I've found a better company to cover me.	CancelPlan
Hi, I need to speak to someone about my bill.	ReportBillingIssue
Hey! My name is Kara Turner and I have a few policies with you guys. I just recently moved and so I want to update you guys with my new address.	ChangeAddress
Yeah I have been shopping for car insurance and had saw an ad for you guys and thought I'd see if you could beat the other rates I've got.	GetQuote
Yeah I need to update my address with you guys and pay my bill.	ChangeAddress
Yes. I need to do something about lowering my premiumiss I recently lost my job and just can't afford the payments anymore. I don't want to change companies. I've been with you guys for years.	ChangePlan
How much different is that one?	GetQuote
Hey I currently have life and health insurance with you guys and I recently got a quote for auto insurance that I would like to go ahead and enroll in.	EnrollInPlan
Can I pay it monthly?	UpdateBillingFrequency
Yes I need to check my account balance with you guys. I don't think I've paid my bill this month so I need to make sure.	CheckAccountBalance
Sure!	PayBill
Hello there. I heard you guys do pet insurance and I just thought that was the neatest thing. Do you think I could get a quote on a policy?	GetQuote
Yes my name is Rita Wilson, customer ID one two three four five six seven eight, and I need to add someone to my life insurance plan.	AddDependent
Hey there. I'm shopping around for some condo insurance and was hoping to get a quote from you guys.	GetQuote
Yes I need to file a claim for a doctor visit.	FileClaim
Hi Susan, my name is Jane. I need to add a dependent to my insurance plan.	AddDependent
I'm doing well. So our rep told me that you were interested in signing up for our Complete Auto plan, is that correct?	EnrollInPlan
Great can I pay over the phone?	PayBill
No. I think I want to go ahead with it.	EnrollInPlan
Hi yes. My name is Jasmine Glover and I need to get proof of insurance sent to me.	RequestProofOfInsurance
Hi I got a notice in the mail saying I was past due. I must have forgot to send you guys a check this month. I need to go ahead and fix that if you can help me please.	PayBill
Yeah I think I've locked myself out of my account online. I can't remember the password.	ResetPassword
Yeah I need to cancel automatic payments. You guys have been overcharging me.	CancelAutomaticBilling
Yes. I just need to report it so I can file a claim once I get it cleared.	ReportAutomobileAccident
Yes I need to check the balance on my policy and possibly pay a bill if the payment is due.	CheckAccountBalance
Hi there I need to see if a payment has been credited to my account.	CheckPaymentStatus
Then there's a problem because it already came out of my bank account.	ReportBillingIssue
Yes my house was damaged in the last hurricane and I need to file a claim. I've been a customer for years so I hope it doesn't mess up my rates.	FileClaim
Hi Jane. I'd like to get a quote for insuring my vehicle	GetQuote
Yes, I'm in the market for new homeowners insurance and I wanted to see what you guys could offer me. I've read some good reviews about you guys.	GetQuote
Yeah I can't seem to get logged in online. I've been with you guys for years and this is the first time it's ever given me problemiss It's starting to get on my nerves.	ResetPassword
Good afternoon, Sandra! I got your information from one of our phone reps that stated you were interested in enrolling in one of our auto insurance plans.	EnrollInPlan
Hey I'm working with a local agent and they said I need to call and set up an account so I can finish purchasing my new auto plan.	CreateAccount
Yes I just recently moved and I need to update my address on my policies with you guys.	ChangeAddress
Yes I've heard a lot of good things about you guys from friends and family and I was interested in finding a local agent to talk about signing up for one of your plans.	EnrollInPlan
Hi Jared, we got a notification of an accident that you were in recently and we wanted to go ahead and start the claims process.	FileClaim
Yes my name is John and I've been a customer a while with you guys. I was wondering if I get any discounts from changing my bill from monthly to yearly?	UpdateBillingFrequency
Hey I would like to see if you guys have an agent near me. I've been interested in moving my policies to you guys but I need to know if there's someone close to me.	FindAgent
That's fine. I just really want to find the nearest agent.	FindAgent
Hi. #Um I wanted to get a quote for pet insurance for my puppy.	GetQuote
Hey there, I just need to make a payment.	PayBill
Yes my name is Margaret Johnson. My customer ID is one three two four five six seven eight, and I sent a check in last week and I haven't seen it get credited to my account.	CheckPaymentStatus
Yes I need to cancel my plan with you guys. I was able to find a lower price somewhere else.	CancelPlan
Yes my name is Jack Henry and I need to add someone to my health insurance plan.	AddDependent
Well I need to see how much it would cost me to get insurance on my car. My kids say I can't drive it until I have insurance.	GetQuote
Oh okay that's what I want then. The fifty seven dollar one.	EnrollInPlan
Hi I am a current client of yours and I am looking to change my plan.	ChangePlan
Ok. Let's cancel it out today please. I am going to get my physical done as soon as I can.	CancelPlan
Hi I am looking to find an insurance agent.	FindAgent
Anyway I am looking to get some pet insurance, but I am looking around and have a few questions then want to figure out the total.	EnrollInPlan
Well I am not sure what I am looking to do. I want to change my bill to monthly?	UpdateBillingFrequency
It looks like that is not the address we have on file. Did you recently move?	ChangeAddress
I need to check my account balance.	CheckAccountBalance
Ok. Would you like to pay your monthly bill now?	PayBill
Hi, I need to speak to someone about my policy. I need to have a dependent take off.	RemoveDependent
Hi Sam I am looking to see where my payment status is at.	CheckPaymentStatus
I am having issues with billing.	ReportBillingIssue
While I have you on the phone would you like to pay your bill?	PayBill
Oh hi Jane! I was just calling to get my policy number.	GetPolicyNumber
Well I should probably pay my bill while I have you on the line.	PayBill
Hi Joe. I recently got divorced and I would like to change my security question and answer.	ChangeSecurityQuestion
Yes and my ex husband knows that so I would like to change it.	ChangeSecurityQuestion
Alright I have that updated on my end. One more thought about protection on this account would you like me to remove your ex husband from the account, so he would not be able to have access even if he knew that?	RemoveDependent
Oh hello yes I'm calling I'd like to get my car insured, my 	GetQuote
Well I'm glad to hear that. Okay so I can help you get an account set up with us first and then we can hash out your your insurance plan and all that, does that sound good?	CreateAccount
Yeah thanks, I did some reading and talked with my friend so that's the one I'd like to go with for now.	EnrollInPlan
Yeah, I need to talk to someone about canceling my car insurance.	CancelPlan
Hi. I need to check my bill? And maybe pay my bill?	CheckAccountBalance
A year? Seriously? Yeah, let's definitely switch me.	ChangePlan
Yeah. I was wondering if I could like, prepay? I need to make a big payment and I'm afraid of getting overdrawn on my checking.	PayBill
#Uh, could we actually change that to something else?	UpdateBillingFrequency
I know all that. I just want to be able to change my password.	ResetPassword
Can you tell me what the balance in my account is?	CheckAccountBalance
No, you can't help. I need to cancel my plan.	CancelPlan
Hi Jane. I need to get a quote for a new homeowners policy. Can you do that over the phone?	GetQuote
yeah. I have my current homeowner policy and my auto policy with you guys. I've bought a new house so I need to get a policy on that property. Oh, and I guess I'll need to cancel the one on my house that I sold.	EnrollInPlan
Oh. #Um Hello mister Banes. I'm calling from Rivertown Insurance. I have a- a- note in the file indicating that you would like to add a dependent to your plan.	AddDependent
Well, that's actually why I'm calling. I can't use the car until I arrange the license and insurance.	EnrollInPlan
No, I'm not. My brother-in-law uses you and he suggested I call. He said the your rates are pretty good. I spoke with Debby last week and I liked the quote I was given. I'd like to proceed with creating an account and setting up the insurance.	CreateAccount
So my bank card was stolen and I think that's the card you guys have.	UpdatePaymentPreference
Okay let me try again . I need to pay my bill I just got a new renter's insurance policy with you last month and I need to make my first payment.	PayBill
Currently I have my bills paid automatically but I don't want that anymore. I just can't keep up with what's what very well and this automatic payment stuff just confuses me and I don't really like it. My son used to take care of all of that but he moved away and can't help me as easily so yeah.	CancelAutomaticBilling
#Hmm okay let's do the term life insurance then. You said three hundred for the year?	EnrollInPlan
Hi yes I'm calling to create an account.	CreateAccount
Yes hi Jeff this is Maria Lopez. I have an auto insurance account with Rivertown and I need to update my payment method.	UpdatePaymentPreference
Yes, hello. My name is Karl Atkinson and I called last week about a quote for homeowner's insurance. I would like to follow up on that.	GetQuote
I think I still want to go with the basic plan.	EnrollInPlan
Yes I am and I actually just got a new pet so I'll need two policies I guess.	EnrollInPlan
Yes that would be great.	GetQuote
Great. So I want to sign up for the preferred plan then please.	EnrollInPlan
Can I pay for the whole year up front?	UpdateBillingFrequency
Hello yes I want to check into changing a plan if that's even possible.	ChangePlan
And I actually wanted to inquire about some homeowner's insurance.	GetQuote
Hi Jane. I need to submit a claim. My car was broken into last night.	FileClaim
Yeah hi I'm in a bit of a problem right now. I had a problem with my car and they need my insurance.	RequestProofOfInsurance
Yes hello I just bought a condo and I wanted to see about getting a quote for some insurance.	GetQuote
Yeah yeah no absolutely. So okay you said the preferred in how much?	GetQuote
Hi Mike I need to change my security questions.	ChangeSecurityQuestion
Yes hi I was calling to get a quote for life insurance please oh and to check on the status of my auto insurance.	GetQuote
I wanted to see how much more I owe on my policy.	CheckAccountBalance
Okay then let me get a quote from the other plans then if you don't mind.	GetQuote
#wow #jeez okay well then I should probably get the universal one then.	ChangePlan
No I want to go ahead and keep my term life insurance but add a universal plan since I already paid for the term insurance.	ChangePlan
yeah that the word frequency. I want to change to the frequency of how often I pay to every month.	UpdateBillingFrequency
Yes hi my apartment complex wants something saying I have proof of insurance from you all and I also need to change the card I pay the bill with.	RequestProofOfInsurance
Yes hi hello I'm interested in homeowner's insurance.	EnrollInPlan
Alright so let's talk about price then.	GetQuote
Yes hello I called last week to set up a homeowner's insurance policy and made an initial payment but I forgot what the agent said about accessing my account online and I don't remember how much the bill is so I need to see what my current account balance is and also how to access my account online.	CheckAccountBalance
Yes I need to set my password.	ResetPassword
Yes hello. I have recently taken over financial responsibility of my elderly mother and I'm calling to just check on her account status.	CheckAccountBalance
Great. So I really wanted to check on her payment status and see if she's up to date on all of that.	CheckPaymentStatus
Alright so I will take care of that today then.	PayBill
Hi there, I was calling to get a quote for dog insurance? We just adopeted a little lab from the shelter today.	GetQuote
Yes, hi Amelia. This is Karen Anderson. I have an automobile policy with you and I need to add my son on my policy please.	AddDependent
Oh yes, actually speaking of dependents I need to take my oldest son off of my policy. I completely blanked on that.	RemoveDependent
I need to cancel.	CancelPlan
Yes hi I was calling to get a quote for life insurance please oh and to check on the status of my auto insurance.	GetQuote
Okay then let me get a quote from the other plans then if you don't mind.	GetQuote
No I want to go ahead and keep my term life insurance but add a universal plan since I already paid for the term insurance.	ChangePlan
one. Oh okay yeah then I want to go with that one.	EnrollInPlan
Oh that's good. Excellent. Okay so yeah sorry. I think I called Rivertown last week inquiring about an auto plan and I'd like to enroll in one.	EnrollInPlan
I sure hope so because I'm getting charged a lot more than I should be and my address is slightly wrong as well. Luckily I got the bill though.	ReportBillingIssue
Oh I definitely am interested in that I just haven't gotten around to doing it but I figured that I should still change my address.	ChangeAddress
I need to change my address with you, again.	ChangeAddress
Yes, I was billed twice this month, and I need to see what's going on.	ReportBillingIssue
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	GetQuote
#Uh, I want to cancel my policy. Is this the right number to do that?	CancelPlan
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	GetQuote
So do you think you could email me that quote if I give you my email address?	GetQuote
Okay, right so I've got an automobile policy with you now and I have decided to stop a pet basic insurance to it.	GetQuote
yes I subscribed to a policy with Rivertown and I think you could be of help to me to upgrade my current policy.	ChangePlan
So do you think you could email me that quote if I give you my email address?	GetQuote
yes I have an existing policy with Rivertown and I think you could help me delete the account.	CancelPlan
yes I want to change my current plan and I was wondering if you can help me to solve my last name spelling issue?	ChangePlan
So do you think you could email me that quote if I give you my email address?	GetQuote
So do you think you could email me that quote if I give you my email address?	GetQuote
Hi I am looking to get information about Life insurance.	GetQuote
Hi I am calling because I received a wrong bill.	ReportBillingIssue
I just paid my phone bill two days ago and my payment is not reflected in the bill.	ReportBillingIssue
That reminds me I also need to get a policy number.	GetPolicyNumber
I have an insurance plan with your company. And I wish to opt out from that plan how can I go about it?	CancelPlan
Well, I'm thinking I'd like to get some coverage for my pets today. You do carry pet insurance, right?	EnrollInPlan
Hi there, Brittney. My name is Noah and I yeah, hold on a sec! Sorry. I just need my balance real quick and the automated thing wasn't working, so it transferred me to you.	CheckAccountBalance
No, she is gonna do that one. I guess what it is she wanted was to check on the auto policy for the Durango. Jeez what a mess. I guess she said to check the car payment, oh I mean the insurance. Insurance payment on the Durango, two zero zero four that she sent to ya'll because she said you should have got it there yesterday and wants to know if it cleared the account already.	CheckPaymentStatus
yes I have an existing plans with Rivertown and I was wondering if you could help me cancel automatic billing on my account.	CancelAutomaticBilling
I need to change my address.	ChangeAddress
Can you tell me how much my premiums will change, you know, monthly?	GetQuote
yeah I subscribed to a policy with Rivertown and I think you could be of great assistance in helping me to reset my password?	ResetPassword
Yea Charlton....since I have you online. I would allow you help me recover the password from your system.	ResetPassword
yes I have an existing policy with Rivertown and I was wondering if you could help me with an upgrade from my current home preferred?	ChangePlan
So do you think you could email me that quote if I give you my email address?	GetQuote
I subscribed to a policy with Rivertown and I think you are in a position to help me reset my password?	ResetPassword
yes I have an existing policy with Rivertown and I was wondering if you could help me to create an account.	CreateAccount
#mhm I want to shop a complete auto policy.	GetQuote
yes I subscribed to a policy with Rivertown and I think you could be of help to reset my password?	ResetPassword
I want to cancel my insurance plan.	CancelPlan
yeah I subscribed to a policy with Rivertown and I think you could be of great assistance in helping me to reset my password?	ResetPassword
yes I have an existing policy with Rivertown and I will like to upgrade it and i was wondering if you could help me.	ChangePlan
Hello, I want to reset my online account password.	ResetPassword
Hi. I've been trying to reset my online password. I tried so many times that I got locked out! I need to -	ResetPassword
yes I subscribe policy with Rivertown and I think you could help me to reset my password?	ResetPassword
yeah, I have to reset my password?	ResetPassword
Yes i have an existing policy with Rivertown and I was wondering if you could help me get my proof of insurance.	RequestProofOfInsurance
Yea....I wish to upgrade my existing plan so I was wondering if You would be able to do that for me.	ChangePlan
yes I have an existing policy with Rivertown and I was wondering if you could help me get my proof of insurance.	RequestProofOfInsurance
Okay, right so I've got an automobile policy with you now and I have decided to add my pet to my insurance package.	EnrollInPlan
Yea....since I have you online. I would allow you help me recover the password from your system.	ResetPassword
yes I subscribed to a policy with Rivertown and I think you could help me add up to my policy.	ChangePlan
Okay, right so I've got an automobile policy with you now and I have decided to shop a pet basic insurance to it.	GetQuote
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	GetQuote
yeah, I had a few questions about a Petcare policy. You offer that right?	GetQuote
So do you think you could email me that policy strategies if I give you my email address right away?	GetQuote
Hi, I want to cancel my insurance plan.	CancelPlan
Hey, Jessica. I managed to lock myself out of my account and need to reset my password.	ResetPassword
Hi, good morning. I want to cancel my insurance plan.	CancelPlan
yes I have an existing plans with Rivertown and I was wondering if you could help me cancel automatic billing on my account.	CancelAutomaticBilling
Miss Emily, you can easily upgrade your previous policy to a new money.	ChangePlan
yeah I subscribed to a policy with Rivertown and I think you could be of great assistance in helping me to reset my password?	ResetPassword
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	GetQuote
Hi, I want to cancel my insurance plan.	CancelPlan
Yea Kate....since I have you online. I would allow you help me recover the password from your system.	ResetPassword
Hello, I want to reset my online account password.	ResetPassword
Hi, I want to cancel my insurance plan.	CancelPlan
Hi, I want to cancel my insurance plan.	CancelPlan
Okay, right so I've got an automobile policy with you now and I have decided to shop a pet basic insurance to it.	GetQuote
So do you think you could email me that quote if I give you my email address?	GetQuote
Yes I'm trying to reset my online password, I created a I forgot my password and I'm trying to pay my bill online.	ResetPassword
Hi, Darcey. This is Mindy with American Life Insurance. I'm responding to your message requesting a change of address.	ChangeAddress
Oh, you may as well do it all.	UpdatePaymentPreference
Yea....since I have you online. I would allow you help me recover the password from your system.	ResetPassword
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	GetQuote
Okay, I will like to have one of the plans for my new home.	EnrollInPlan
With the informations I have here I will opt-in for basic automobile, home preffered and petcare basic.	EnrollInPlan
Yea....I wish to upgrade my existing plan so I was wondering if You would be able to do that for me.	ChangePlan
#wow...Which one is that?.....I need to pick the better one.	ChangePlan
-huh I would like to upgrade to the basic preferred policy plan.	ChangePlan
Yea...since I have you online. I would allow you help me recover the password from your system.	ResetPassword
yes I would like to report a double billing on my account.	ReportBillingIssue
I would like you to reset the password from here.	ResetPassword
yes I have an existing policy with Rivertown and I was wondering if you could help me get my proof of insurance.	RequestProofOfInsurance
yes I subscribed to a policy with Rivertown and I think you could be of help to me out to add up to my current policy.	EnrollInPlan
So do you think you could email me that quote if I give you my email address?	GetQuote
I want to cancel my insurance plan.	CancelPlan
Yea...since I have you online. I would allow you help me recover the password from your system.	ResetPassword
Hi, I want to cancel my insurance plan.	CancelPlan
yes I subscribed to a policy with Rivertown and I think you could be of help to me to upgrade my current policy.	ChangePlan
So do you think you could email me that quote if I give you my email address?	GetQuote
Hello, I want to reset my online account password.	ResetPassword
yes I have an existing plans with Rivertown and I was wondering if you could help me cancel automatic billing on my account.	CancelAutomaticBilling
yes I have an existing policy with Rivertown and I was wondering if you could help me to add up to my existing policy.	EnrollInPlan
I subscribed to a policy with Rivertown and I think you are in a position to help me reset my password?	ResetPassword
yes I have an already running policy Rivertown and i want to change my current plan and I was wondering if you can help me to solve my last name spelling issue?	ChangePlan
So do you think you could email me that quote if I give you my email address?	GetQuote
#Uh, yes. I want to add my son to my auto insurance plan.	AddDependent
Okay, right so I've got an automobile policy with you now and I have decided to shop my home insurance.	EnrollInPlan
So do you think you could email me that quote if I give you my email address?	GetQuote
yeah I subscribed to a policy with Rivertown and I think you could be of great assistance in helping me to reset my password?	ResetPassword
yeah, I will like to reset my password?	ResetPassword
yeah, I had a few questions about a homeowner's policy. You offer that right?	GetQuote
So do you think you could email me that quote if I give you my email address?	GetQuote
yes I have an existing policy with Rivertown and I was wondering if you could help me to create an account.	CreateAccount
#mhm I want to shop a complete auto policy Ma.	GetQuote
yes I have an existing policy with Rivertown and I was wondering if you could help me to create an account.	CreateAccount
#mhm I want to shop a complete auto policy sir.	GetQuote
Yes i have an existing policy with Rivertown and I was wondering if you could help me get my proof of insurance.	RequestProofOfInsurance
So do you think you could email me that quote if I give you my email address?	GetQuote
I wanted to set up an account, but I couldn't figure out how to do that on your website.	CreateAccount
yes I have an existing policy with Rivertown and I was wondering if you could help me with an upgrade from my current home preferred?	ChangePlan
Okay, right so I've got an home preferred policy with you now and I have decided to shop the home complete insurance.	GetQuote
yes I have an existing policy with Rivertown and I think you could help me delete the account.	CancelPlan
#oh yes I have an existing policy with Rivertown and I was wondering if you could help me to add up to my existing policy.	ChangePlan
yes I would like to report a double billing on my account.	ReportBillingIssue
I would like you to reset the password from here.	ResetPassword
Yea...since I have you online. I would allow you help me recover the password from your system.	ResetPassword
yes I have an existing policy with Rivertown insurance and I was wondering if you could help me on how I can add to it for better productivity.	ChangePlan
Okay, right so I've got an automobile policy and I want to add up a life insurance.	EnrollInPlan
So do you think you could email me that quote if I give you my email address?	GetQuote
Hi, good morning. I want to cancel my insurance plan.	CancelPlan
I want to cancel my insurance plan.	CancelPlan
I would like to cancel my insurance plan.	CancelPlan
Hi, I was wanting to change my billing from yearly to monthly, can I do that?	UpdateBillingFrequency
This is Steve Blaney. I'm calling to cancel my auto insurance plan.	CancelPlan
Hi, I'm not sure who I should speak to, I just called the number on your website. I need to put in a claim, that windstorm last night brought down a big tree, right on top of our house. It hit the car too, and the garage. I'm not sure where to start.	FileClaim
Hi, good morning. I need to change my address with you guys. I just moved.	ChangeAddress
Hi, good morning. I need to speak to someone about changing my security questions. Those things make me crazy. I'm locked out of the online portal because I can't remember one of them.	ChangeSecurityQuestion
Great, how much is it?	GetQuote
Yeah, that makes sense. Okay, I think I'd be okay with the Basic package. I don't have much stuff, the hundred thousand will cover it easily.	EnrollInPlan
Hi Jane, I'd like to cancel my policy.	CancelPlan
Tim. Tim Cranet, c. r. a. n. e. t. Policy number one oh one seven one six three three sev- seven nine zero. Not sure ho- I I lost #eh I can't access my account.	ResetPassword
Yeah, hey Carrie, I need to add my son to my life insurance policy. Do you do that?	AddDependent
#Um I'm just getting in touch because I actually want to cancel my automobile insurance plan. I googled how to cancel the plan and it said to call this number, is that correct?	CancelPlan
That's totally fine. So if for now you're interested in the Home Preferred plan, what we can do today is create an account for you so that when you do feel ready to enroll in a plan, you can do so on our website or give us a ring again if you prefer and we'll already have you on file. I can also send some information pamphlets that include all the clauses of each policy to your email address or out in the mail if you prefer. How does that sound?	CreateAccount
Well you see, I got pulled over a couple days ago and the officer ask me for proof of insurance.	RequestProofOfInsurance
My father recently passed, and I wanna look into his policy and what it covers.	FileClaim
Well, I need to make sure that his automatic payments for his policy are cancelled.	CancelAutomaticBilling
Hello. I want to report an accident.	ReportAutomobileAccident
